Player,Team,Age,Pos,OFF_EPM,DEF_EPM,EPM
John Poulakidas,DAL,23,G,-1.58836,-0.406146,-1.9945
Chris Paul,TOR,41,G,-1.2093,-0.792107,-2.0014
Noah Clowney,BKN,21,F-C,-1.13988,-0.865141,-2.005
Isaiah Stewart,DET,25,F-C,-1.71278,-0.292481,-2.0053
Sean Pedulla,LAC,23,G,-0.832276,-1.17747,-2.0097
Keshad Johnson,MIA,24,F,-1.7731,-0.248954,-2.0221
Alex Antetokounmpo,MIL,24,F,-1.01854,-1.0237,-2.0422
Danny Wolf,BKN,22,F,-1.78734,-0.261354,-2.0487
Cam Whitmore,WAS,21,F,-1.13292,-0.924151,-2.0571
Caleb Love,POR,24,G,-0.934504,-1.12279,-2.0573
Dante Exum,WAS,30,G,-1.57008,-0.505152,-2.0752
Keaton Wallace,ATL,27,G,-1.77097,-0.309662,-2.0806
Jordan Clarkson,NYK,34,G,-1.20978,-0.878598,-2.0884
Taylor Hendricks,MEM,22,F,-1.59752,-0.499749,-2.0973
A.J. Lawson,TOR,25,G,-1.52966,-0.580063,-2.1097
David Jones Garcia,SAS,24,G,-1.48861,-0.625148,-2.1138
Dylan Cardwell,SAC,24,C,-2.04243,-0.0731679,-2.1156
Malachi Smith,BKN,26,G,-1.60356,-0.515383,-2.1189
Karlo Matkovic,NOP,25,F-C,-1.72684,-0.404327,-2.1312
Tre Johnson,WAS,20,G,-0.742863,-1.39407,-2.1369
Tristen Newton,HOU,25,G,-1.83844,-0.299892,-2.1383
Kelly Olynyk,SAS,35,F-C,-1.16508,-0.975959,-2.141
Jabari Walker,PHI,23,F,-1.52988,-0.632935,-2.1628
Ace Bailey,UTA,19,F,-0.838609,-1.32627,-2.1649
Jalen Pickett,DEN,26,G,-1.40121,-0.768871,-2.1701
Terance Mann,BKN,29,G-F,-1.27583,-0.897567,-2.1734
Daeqwon Plowden,SAC,27,G-F,-0.615033,-1.56402,-2.1791
Liam McNeeley,CHA,20,F,-1.79236,-0.392974,-2.1853
Caleb Houstan,ATL,23,G,-1.66903,-0.5355,-2.2045
Nicolas Batum,LAC,37,G-F,-2.25424,0.0491522,-2.2051
Will Richard,GSW,23,G,-2.34962,0.131561,-2.2181
Corey Kispert,ATL,27,F,-0.462783,-1.76393,-2.2267
Tyler Smith,DAL,21,F,-1.85909,-0.380797,-2.2399
Chris Youngblood,POR,24,G,-0.792427,-1.459,-2.2514
Vit Krejci,POR,25,G,-1.58035,-0.671955,-2.2523
Adem Bona,PHI,23,F,-2.00466,-0.249217,-2.2539
Caris LeVert,DET,31,G,-2.34817,0.0868806,-2.2613
Kevon Harris,HOU,28,G,-3.17119,0.909034,-2.2622
MarJon Beauchamp,PHI,25,F,-1.78731,-0.484848,-2.2722
Jules Bernard,MIN,26,G,-1.32247,-0.958531,-2.281
Spencer Jones,DEN,24,F,-2.4772,0.18913,-2.2881
Gradey Dick,TOR,22,G-F,-1.76015,-0.534846,-2.295
Curtis Jones,DEN,24,G,-1.70098,-0.603018,-2.304
Dennis Schroder,CLE,32,G,-1.60362,-0.703554,-2.3072
Pat Connaughton,CHA,33,G,-2.0031,-0.318526,-2.3216
Jaden Hardy,WAS,23,G,-0.802081,-1.55515,-2.3572
Johnny Juzang,MIN,25,G,-0.718646,-1.64085,-2.3595
Royce O'Neale,PHX,33,F,-1.70941,-0.694495,-2.4039
Jaden Springer,NOP,23,G,-2.7304,0.319407,-2.411
Orlando Robinson,ORL,25,C,-1.55988,-0.854912,-2.4148
Pat Spencer,GSW,29,G,-0.922317,-1.49463,-2.4169
Tosan Evbuomwan,CHA,25,F,-2.046,-0.372781,-2.4188
Jaden Ivey,CHI,24,G,-1.31347,-1.11483,-2.4283
Kyle Anderson,MIN,32,F-G,-3.19222,0.751575,-2.4406
Mac McClung,CHI,27,G,-1.24808,-1.19785,-2.4459
Carter Bryant,SAS,20,F,-2.42241,-0.0253786,-2.4478
Micah Peavy,NOP,24,G-F,-2.49203,0.0355961,-2.4564
Julian Strawther,DEN,24,G,-1.42494,-1.03392,-2.4589
Craig Porter Jr.,CLE,26,G,-1.59472,-0.878907,-2.4736
Chaz Lanier,DET,24,G,-1.68438,-0.803439,-2.4878
Mohamed Diawara,NYK,21,F,-2.02652,-0.466761,-2.4933
Killian Hayes,SAC,24,G,-2.54065,0.0325348,-2.5081
